ListType,Size,AppendTime,RetrievalTime
IntArrayList,10,1916,42
IntLinkedList,10,1000,0
EfficientIntArrayList,10,459,0
EfficientIntLinkedList,10,917,0
GenericLinkedList,10,1291,0
GenericArrayList,10,792,0
GenericLinkedListRecord,10,8958,0
IntArrayList,100,26667,42
IntLinkedList,100,21291,0
EfficientIntArrayList,100,13417,0
EfficientIntLinkedList,100,20500,0
GenericLinkedList,100,29583,0
GenericArrayList,100,7167,0
GenericLinkedListRecord,100,63166,0
IntArrayList,1000,818542,42
IntLinkedList,1000,69542,0
EfficientIntArrayList,1000,53917,0
EfficientIntLinkedList,1000,27792,0
GenericLinkedList,1000,91834,0
GenericArrayList,1000,91625,0
GenericLinkedListRecord,1000,6280417,0
IntArrayList,10000,40688708,42
IntLinkedList,10000,149500,0
EfficientIntArrayList,10000,142875,0
EfficientIntLinkedList,10000,158333,0
GenericLinkedList,10000,536292,0
GenericArrayList,10000,149458,0
GenericLinkedListRecord,10000,516737708,0
